115	8	DAL	PHI	2011-10-30 20:20:00
116	8	SD	KC	2011-10-31 20:30:00
117	9	NYJ	BUF	2011-11-06 13:00:00
118	9	TB	NO	2011-11-06 13:00:00
119	9	ATL	IND	2011-11-06 13:00:00
120	9	SEA	DAL	2011-11-06 13:00:00
121	9	MIA	KC	2011-11-06 13:00:00
122	9	SF	WAS	2011-11-06 13:00:00
123	9	CLE	HOU	2011-11-06 13:00:00
124	9	DEN	OAK	2011-11-06 16:05:00
125	9	CIN	TEN	2011-11-06 16:05:00
126	9	STL	ARI	2011-11-06 16:15:00
127	9	NYG	NE	2011-11-06 16:15:00
128	9	GB	SD	2011-11-06 16:15:00
129	9	BAL	PIT	2011-11-06 20:20:00
130	9	CHI	PHI	2011-11-07 20:30:00
131	10	OAK	SD	2011-11-10 20:20:00
132	10	NO	ATL	2011-11-13 13:00:00
133	10	DET	CHI	2011-11-13 13:00:00
134	10	JAX	IND	2011-11-13 13:00:00
135	10	DEN	KC	2011-11-13 13:00:00
136	10	PIT	CIN	2011-11-13 13:00:00
137	10	TEN	CAR	2011-11-13 13:00:00
138	10	HOU	TB	2011-11-13 13:00:00
139	10	WAS	MIA	2011-11-13 13:00:00
140	10	STL	CLE	2011-11-13 13:00:00
141	10	BUF	DAL	2011-11-13 13:00:00
142	10	ARI	PHI	2011-11-13 13:00:00
143	10	BAL	SEA	2011-11-13 16:05:00
144	10	NYG	SF	2011-11-13 16:15:00
145	10	NE	NYJ	2011-11-13 20:20:00
146	10	MIN	GB	2011-11-14 20:30:00
147	11	NYJ	DEN	2011-11-17 20:20:00
148	11	CIN	BAL	2011-11-20 13:00:00
149	11	DAL	WAS	2011-11-20 13:00:00
150	11	BUF	MIA	2011-11-20 13:00:00
151	11	TEN	ATL	2011-11-20 13:00:00
152	11	OAK	MIN	2011-11-20 13:00:00
153	11	JAX	CLE	2011-11-20 13:00:00
154	11	CAR	DET	2011-11-20 13:00:00
155	11	TB	GB	2011-11-20 13:00:00
156	11	SEA	STL	2011-11-20 16:05:00
157	11	ARI	SF	2011-11-20 16:05:00
158	11	SD	CHI	2011-11-20 16:15:00
159	11	PHI	NYG	2011-11-20 20:20:00
160	11	KC	NE	2011-11-21 20:30:00
161	12	GB	DET	2011-11-24 12:30:00
162	12	MIA	DAL	2011-11-24 16:15:00
163	12	SF	BAL	2011-11-24 20:20:00
164	12	CLE	CIN	2011-11-27 13:00:00
165	12	HOU	JAX	2011-11-27 13:00:00
166	12	ARI	STL	2011-11-27 13:00:00
167	12	BUF	NYJ	2011-11-27 13:00:00
168	12	TB	TEN	2011-11-27 13:00:00
169	12	CAR	IND	2011-11-27 13:00:00
170	12	MIN	ATL	2011-11-27 13:00:00
171	12	CHI	OAK	2011-11-27 16:05:00
172	12	WAS	SEA	2011-11-27 16:05:00
173	12	DEN	SD	2011-11-27 16:15:00
174	12	NE	PHI	2011-11-27 16:15:00
175	12	PIT	KC	2011-11-27 20:20:00
176	12	NYG	NO	2011-11-28 20:30:00
